model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
Qwen-14B,CarSales,0.5,negative,4996,252,0.05044035228182546,62344,255,0.004090209162068523,-0.5976985396624805,0.5976985396624805,0.7705398371762969,0.17284129751381636,0.6844759053582582
Qwen-14B,CarSales,0.6,negative,4996,94,0.018815052041633307,62344,94,0.0015077633773899653,-0.694818294569248,0.694818294569248,0.8306548616839277,0.13583656711467973,0.7292620942886899
Qwen-14B,CarSales,0.7,negative,4996,35,0.00700560448358687,62344,35,0.0005614012575388169,-0.7855796437370239,0.7855796437370239,0.875288351803761,0.08970870806673702,0.7553257456828887
Qwen-14B,Gridworld,0.1,negative,4999,3083,0.6167233446689337,73639,4871,0.0661470144896047,-0.17050850724194422,0.17050850724194422,0.4378424578618144,0.2673339506198702,0.4401286968050647
Qwen-14B,Gridworld,0.2,negative,4999,925,0.1850370074014803,73639,1052,0.014285908282296067,-0.2747043532241794,0.2747043532241794,0.5378982695739892,0.2631939163498099,0.4822957323467556
Qwen-14B,Gridworld,0.3,negative,4999,267,0.05341068213642729,73639,277,0.0037615937207186407,-0.38361010830324904,0.38361010830324904,0.604187725631769,0.22057761732851988,0.5624936376475982
Qwen-14B,Gridworld,0.4,negative,4999,79,0.015803160632126424,73639,80,0.0010863808579692825,-0.5042500000000001,0.5042500000000001,0.6545,0.15025,0.6916075805322128
Qwen-14B,Gridworld,0.5,negative,4999,27,0.0054010802160432084,73639,27,0.00036665353956463287,-0.5970370370370369,0.5970370370370369,0.6814814814814816,0.08444444444444445,0.8155137981118373
Qwen-14B,Gridworld,0.6,negative,4999,9,0.0018003600720144029,73639,9,0.00012221784652154428,-0.6866666666666665,0.6866666666666665,0.7333333333333333,0.04666666666666667,0.8740740740740741
Qwen-14B,Gridworld,0.7,negative,4999,3,0.000600120024004801,73639,3,4.0739282173848094e-05,-0.7733333333333333,0.7733333333333333,0.8066666666666666,0.033333333333333326,0.9375
Qwen-14B,Interview,0.1,negative,4998,2809,0.5620248099239696,63084,8753,0.13875150592860314,-0.23750796865634502,0.23750796865634502,0.6825486019477529,0.44504063329140797,0.6700246105994387
Qwen-14B,Interview,0.2,negative,4998,2303,0.46078431372549017,63084,4145,0.06570604273666857,-0.33672748452505785,0.33672748452505785,0.7075685315302208,0.37084104700516296,0.693997857909729
Qwen-14B,Interview,0.3,negative,4998,1635,0.32713085234093636,63084,2025,0.03210005706676812,-0.43391663906710615,0.43391663906710615,0.7453385113974823,0.3114218723303762,0.7049931598700663
Qwen-14B,Interview,0.4,negative,4998,903,0.18067226890756302,63084,964,0.015281212351784921,-0.5299541313509653,0.5299541313509653,0.7900918790752816,0.26013774772431636,0.713660189409213
Qwen-14B,Interview,0.5,negative,4998,459,0.09183673469387756,63084,468,0.007418679855430854,-0.6110452811573907,0.6110452811573907,0.8321245421245421,0.2210792609671514,0.7042621982997171
Qwen-14B,Interview,0.6,negative,4998,189,0.037815126050420166,63084,190,0.003011857206264663,-0.7002923758009623,0.7002923758009623,0.8767755102040816,0.17648313440311938,0.6968669389605922
Qwen-14B,Interview,0.7,negative,4998,72,0.014405762304921969,63084,72,0.0011413353623739774,-0.784317153592516,0.784317153592516,0.9057879818594103,0.12147082826689452,0.7287094373491433
